Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Late_delivery_risk,Category Id,Customer Id,Customer Zipcode,Department Id,Latitude,Longitude,Order Customer Id,Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Status,Product Card Id,Product Category Id,Product Price
68,3,4,91.25,314.6400146,0,73,20755,725,2,18.2514534,-66.03705597,20755,77202,1360,13.10999966,0.039999999,180517,327.75,0.289999992,1,327.75,314.6400146,91.25,67,1360,73,327.75
84,5,4,-249.0899963,311.3599854,1,73,19492,725,2,18.27945137,-66.0370636,19492,75939,1360,16.38999939,0.050000001,179254,327.75,-0.800000012,1,327.75,311.3599854,-249.0899963,80,1360,73,327.75
67,4,4,-247.7799988,309.7200012,0,73,19491,95125,2,37.29223251,-121.881279,19491,75938,1360,18.03000069,0.059999999,179253,327.75,-0.800000012,1,327.75,309.7200012,-247.7799988,67,1360,73,327.75
68,3,4,22.86000061,304.8099976,0,73,19490,90027,2,34.12594605,-118.2910156,19490,75937,1360,22.94000053,0.07,179252,327.75,0.079999998,1,327.75,304.8099976,22.86000061,67,1360,73,327.75
80,2,4,134.2100067,298.25,0,73,19489,725,2,18.25376892,-66.03704834,19489,75936,1360,29.5,0.090000004,179251,327.75,0.449999988,1,327.75,298.25,134.2100067,80,1360,73,327.75
84,6,4,18.57999992,294.980011,0,73,19488,14150,2,43.01396942,-78.87906647,19488,75935,1360,32.77999878,0.100000001,179250,327.75,0.059999999,1,327.75,294.980011,18.57999992,67,1360,73,327.75
68,2,1,95.18000031,288.4200134,1,73,19487,725,2,18.24253845,-66.03705597,19487,75934,1360,39.33000183,0.119999997,179249,327.75,0.330000013,1,327.75,288.4200134,95.18000031,67,1360,73,327.75
84,2,1,68.43000031,285.1400146,1,73,19486,33162,2,25.92886925,-80.16287231,19486,75933,1360,42.61000061,0.129999995,179248,327.75,0.239999995,1,327.75,285.1400146,68.43000031,80,1360,73,327.75
67,3,2,133.7200012,278.5899963,1,73,19485,725,2,18.23322296,-66.03705597,19485,75932,1360,49.15999985,0.150000006,179247,327.75,0.479999989,1,327.75,278.5899963,133.7200012,67,1360,73,327.75
67,2,1,132.1499939,275.3099976,1,73,19484,94583,2,37.77399063,-121.966629,19484,75931,1360,52.43999863,0.159999996,179246,327.75,0.479999989,1,327.75,275.3099976,132.1499939,67,1360,73,327.75
84,6,2,130.5800018,272.0299988,0,73,19483,725,2,18.28284454,-66.03705597,19483,75930,1360,55.72000122,0.170000002,179245,327.75,0.479999989,1,327.75,272.0299988,130.5800018,83,1360,73,327.75
84,5,2,45.68999863,268.7600098,1,73,19482,11520,2,40.65486527,-73.58707428,19482,75929,1360,59,0.180000007,179244,327.75,0.170000002,1,327.75,268.7600098,45.68999863,80,1360,73,327.75
84,4,2,21.76000023,262.2000122,1,73,19481,93905,2,36.6763382,-121.656517,19481,75928,1360,65.55000305,0.200000003,179243,327.75,0.079999998,1,327.75,262.2000122,21.76000023,80,1360,73,327.75
68,2,1,24.57999992,245.8099976,1,73,19480,725,2,18.27843857,-66.03705597,19480,75927,1360,81.94000244,0.25,179242,327.75,0.100000001,1,327.75,245.8099976,24.57999992,67,1360,73,327.75
84,2,1,16.38999939,327.75,1,73,19479,1960,2,42.52627564,-70.92703247,19479,75926,1360,0,0,179241,327.75,0.050000001,1,327.75,327.75,16.38999939,80,1360,73,327.75
68,2,1,-259.5799866,324.4700012,1,73,19478,725,2,18.28404999,-66.03705597,19478,75925,1360,3.279999971,0.01,179240,327.75,-0.800000012,1,327.75,324.4700012,-259.5799866,67,1360,73,327.75
80,5,2,-246.3600006,321.2000122,1,73,19477,729,2,18.3957901,-65.87288666,19477,75924,1360,6.559999943,0.02,179239,327.75,-0.769999981,1,327.75,321.2000122,-246.3600006,80,1360,73,327.75
67,2,1,23.84000015,317.9200134,1,73,19476,90723,2,33.89869309,-118.1745605,19476,75923,1360,9.829999924,0.029999999,179238,327.75,0.079999998,1,327.75,317.9200134,23.84000015,67,1360,73,327.75
68,2,1,102.2600021,314.6400146,1,73,19475,725,2,18.233778,-66.0370636,19475,75922,1360,13.10999966,0.039999999,179237,327.75,0.330000013,1,327.75,314.6400146,102.2600021,67,1360,73,327.75
80,0,0,87.18000031,311.3599854,0,73,19474,60056,2,42.04830551,-87.96134186,19474,75921,1360,16.38999939,0.050000001,179236,327.75,0.280000001,1,327.75,311.3599854,87.18000031,80,1360,73,327.75
84,0,0,154.8600006,309.7200012,0,73,19473,90813,2,33.78245163,-118.1922455,19473,75920,1360,18.03000069,0.059999999,179235,327.75,0.5,1,327.75,309.7200012,154.8600006,80,1360,73,327.75
84,5,4,82.30000305,304.8099976,1,73,19472,725,2,18.28337669,-66.03705597,19472,75919,1360,22.94000053,0.07,179234,327.75,0.270000011,1,327.75,304.8099976,82.30000305,80,1360,73,327.75
84,4,2,22.37000084,298.25,1,73,19471,95670,2,38.61177445,-121.2828674,19471,75918,1360,29.5,0.090000004,179233,327.75,0.079999998,1,327.75,298.25,22.37000084,80,1360,73,327.75
84,3,2,17.70000076,294.980011,0,73,19470,725,2,18.20733643,-66.03705597,19470,75917,1360,32.77999878,0.100000001,179232,327.75,0.059999999,1,327.75,294.980011,17.70000076,67,1360,73,327.75
84,2,2,90.27999878,288.4200134,0,73,19469,59102,2,45.78831101,-108.5594101,19469,75916,1360,39.33000183,0.119999997,179231,327.75,0.310000002,1,327.75,288.4200134,90.27999878,83,1360,73,327.75
68,6,2,131.1699982,285.1400146,1,73,19468,725,2,18.26163292,-66.03705597,19468,75915,1360,42.61000061,0.129999995,179230,327.75,0.460000008,1,327.75,285.1400146,131.1699982,67,1360,73,327.75
84,5,2,90.54000092,278.5899963,1,73,19467,18702,2,41.23545456,-75.86985779,19467,75914,1360,49.15999985,0.150000006,179229,327.75,0.330000013,1,327.75,278.5899963,90.54000092,80,1360,73,327.75
80,4,4,82.58999634,275.3099976,0,73,19466,725,2,18.27022362,-66.0370636,19466,75913,1360,52.43999863,0.159999996,179228,327.75,0.300000012,1,327.75,275.3099976,82.58999634,80,1360,73,327.75
68,3,4,-17.13999939,272.0299988,0,73,19465,48066,2,41.86886215,-84.57365418,19465,75912,1360,55.72000122,0.170000002,179227,327.75,-0.059999999,1,327.75,272.0299988,-17.13999939,67,1360,73,327.75
84,2,4,23.64999962,268.7600098,0,73,19464,90706,2,33.90942383,-118.1253586,19464,75911,1360,59,0.180000007,179226,327.75,0.090000004,1,327.75,268.7600098,23.64999962,80,1360,73,327.75
68,6,4,73.41999817,262.2000122,1,73,19463,725,2,18.27526093,-66.0370636,19463,75910,1360,65.55000305,0.200000003,179225,327.75,0.280000001,1,327.75,262.2000122,73.41999817,79,1360,73,327.75
68,5,4,113.0699997,245.8099976,1,73,19462,60187,2,41.86544037,-88.10990143,19462,75909,1360,81.94000244,0.25,179224,327.75,0.460000008,1,327.75,245.8099976,113.0699997,67,1360,73,327.75
80,4,4,24.57999992,327.75,0,73,19461,725,2,18.28713608,-66.03705597,19461,75908,1360,0,0,179223,327.75,0.079999998,1,327.75,327.75,24.57999992,80,1360,73,327.75
68,2,1,-97.33999634,324.4700012,1,73,19460,48238,2,42.39110184,-83.13121796,19460,75907,1360,3.279999971,0.01,179222,327.75,-0.300000012,1,327.75,324.4700012,-97.33999634,67,1360,73,327.75
80,2,1,-425.5799866,321.2000122,1,73,19459,75220,2,32.86539459,-96.86858368,19459,75906,1360,6.559999943,0.02,179221,327.75,-1.330000043,1,327.75,321.2000122,-425.5799866,80,1360,73,327.75
80,2,1,152.6000061,317.9200134,1,73,19458,725,2,18.24074173,-66.03705597,19458,75905,1360,9.829999924,0.029999999,179220,327.75,0.479999989,1,327.75,317.9200134,152.6000061,80,1360,73,327.75
67,2,1,151.0299988,314.6400146,1,73,19457,17013,2,40.03171921,-76.87709808,19457,75904,1360,13.10999966,0.039999999,179219,327.75,0.479999989,1,327.75,314.6400146,151.0299988,67,1360,73,327.75
68,2,1,62.27000046,311.3599854,1,73,19456,75228,2,32.81010819,-96.68649292,19456,75903,1360,16.38999939,0.050000001,179218,327.75,0.200000003,1,327.75,311.3599854,62.27000046,67,1360,73,327.75
68,1,0,35,309.7200012,1,73,19455,725,2,18.28604889,-66.03705597,19455,75902,1360,18.03000069,0.059999999,179217,327.75,0.109999999,1,327.75,309.7200012,35,67,1360,73,327.75
84,1,0,57.29999924,304.8099976,0,73,19454,19702,2,39.68188095,-75.64421082,19454,75901,1360,22.94000053,0.07,179216,327.75,0.189999998,1,327.75,304.8099976,57.29999924,67,1360,73,327.75
80,1,0,143.1600037,298.25,1,73,19453,91402,2,34.15893936,-118.1809387,19453,75900,1360,29.5,0.090000004,179215,327.75,0.479999989,1,327.75,298.25,143.1600037,80,1360,73,327.75
68,1,0,135.6900024,294.980011,1,73,19452,725,2,18.28294563,-66.0370636,19452,75899,1360,32.77999878,0.100000001,179214,327.75,0.460000008,1,327.75,294.980011,135.6900024,67,1360,73,327.75
67,4,4,132.6699982,288.4200134,0,73,19451,30318,2,33.81632614,-84.44550324,19451,75898,1360,39.33000183,0.119999997,179213,327.75,0.460000008,1,327.75,288.4200134,132.6699982,67,1360,73,327.75
