sku,national_inv,lead_time,in_transit_qty,min_bank,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,went_on_backorder
1043384,2,9,0,0,0,0.99,0.99,0,No
1043852,7,8,0,1,0,0.1,0.13,0,No
1044198,13,8,0,0,0,0.82,0.87,0,No
1045098,6,2,0,0,0,0,0,0,No
1045867,4,8,0,0,0,0.82,0.87,0,No
1045918,0,2,0,0,0,0.91,0.82,0,No
1049468,11,8,0,0,0,0.82,0.78,0,No
1050390,12,2,0,0,0,1,0.98,0,No
1050440,169,2,0,0,0,1,1,0,No
1050856,147,8,0,0,0,-99,1,0,No
1051516,82,8,0,0,0,-99,1,0,No
1051715,4,2,0,0,0,-99,-99,0,No
1141087,20,8,0,0,0,-99,-99,0,No
1157334,0,8,0,0,0,-99,-99,0,No
1056218,2,12,0,0,0,0.99,0.99,0,No
1058368,47,2,0,0,0,0,0,0,No
1180688,890,8,0,0,0,-99,-99,0,No
1060585,6,8,0,0,0,-99,-99,0,No
1060788,1,9,0,0,0,-99,-99,0,No
1217629,163,8,0,0,0,-99,-99,0,No
1218378,0,6,0,0,0,0.79,0.66,0,No
1221415,0,2,0,0,0,0.77,0.89,0,No
1062797,15,8,0,2,0,-99,-99,0,No
1225137,0,8,0,0,0,0.87,0.84,0,No
1226726,0,8,0,0,0,1,0.98,0,No
1063838,32,2,0,0,0,0.66,0.6,0,No
1063988,14,9,0,0,0,1,1,0,No
1235137,3,8,0,1,0,-99,-99,0,No
1065629,0,12,0,0,0,0.82,0.79,0,No
1067203,5,8,0,0,0,0,0.09,0,No
1111573,17303,8,0,29,0,-99,-99,0,No
1111574,763,8,0,58,0,1,1,0,No
1111575,62,8,0,0,0,1,1,0,No
1111577,59,12,1,149,0,0.98,0.95,0,No
1111579,256,8,0,2,0,1,1,0,No
1111580,362,8,0,1,0,0.89,0.89,0,No
1111583,4044,12,39,110,0,0.93,0.88,0,No
1111584,835,8,0,5,0,-99,-99,0,No
1111585,294,8,0,3,0,-99,0,0,No
1111586,1911,4,0,0,0,0.79,0.66,0,No
1111588,114,8,0,0,0,0.79,0.66,0,No
1111589,246,8,0,0,0,0.92,0.97,0,No
1111590,6,8,0,0,0,0.81,0.8,0,No
1111591,302,8,0,32,0,0.78,0.73,0,No
1111592,12,8,0,0,0,0.6,0.54,0,No
1111593,28,8,0,0,0,0.7,0.64,0,No
1111595,6,8,3,0,0,0.6,0.54,0,No
1111596,29,8,0,0,0,0.93,0.86,0,No
1111597,353,52,4,21,0,0.83,0.89,0,No
1111598,360,8,0,159,0,1,1,0,No
1111599,0,15,0,0,0,0.84,0.93,0,No
1111601,4900,8,0,42,0,0.99,0.99,0,No
1111603,500,8,0,422,0,0.91,0.8,0,No
1111606,1004,9,0,28,0,0.7,0.88,0,No
1111609,39,8,0,0,0,1,1,0,No
1111610,19,8,0,1,0,0.98,0.97,0,No
1111611,278,8,0,23,0,0.96,0.83,0,No
1111612,85,12,0,8,0,0.93,0.88,0,No
1111613,0,17,2,0,0,0.79,0.83,0,No
1111614,15,12,0,0,0,0.82,0.79,0,No
1111615,4,8,0,0,0,0.48,0.53,0,No
1111616,6,12,0,0,0,0.87,0.68,0,No
1111617,945,8,0,0,0,0.97,0.96,0,No
1111618,18,12,0,1,0,0.47,0.39,0,No
1111620,1,8,1,0,0,0.98,0.95,0,No
1111621,139,8,0,21,0,0.85,0.87,0,No
1111622,117,8,80,36,0,0.83,0.89,0,No
1111623,0,8,0,2,0,0.68,0.58,0,Yes
1111624,36,8,3,1,0,1,0.99,0,No
1111625,305,8,0,2,0,0.85,0.82,0,No
1111627,814,8,0,6,0,0.98,0.91,0,No
1111628,8,12,0,0,0,0.88,0.81,0,No
1111629,0,8,0,0,0,0.99,0.98,0,No
1111630,12776,8,0,3862,0,0.99,0.99,0,No
1111631,115,13,0,9,0,1,0.93,0,No
1111632,48,9,0,0,0,0.91,0.74,0,No
1111633,16,4,0,0,0,0.77,0.8,0,No
1111635,2690,8,0,1,0,1,1,0,No
1111637,594,2,0,200,0,0.62,0.56,0,No
1111638,2403,2,0,0,0,1,0.99,0,No
1111639,9,12,0,0,0,0.56,0.72,0,No
1111640,1220,8,0,0,0,0.99,0.99,0,No
1111788,12,0,0,2,0,0,0,0,No
1111641,36,12,0,6,0,0.82,0.79,0,No
1111642,289,6,0,111,0,0.82,0.79,0,No
1111643,59,8,3,8,0,0.88,0.92,0,No
1111646,10,8,0,0,0,0.96,0.94,0,No
1111647,0,8,0,0,0,0.55,0.66,0,No
1111648,13,8,0,1,0,0.81,0.83,0,No
1111649,10,8,0,0,0,0.96,0.94,0,No
1111650,110,8,0,3,0,1,0.95,0,No
1111651,143,8,1,27,0,0.81,0.86,0,No
1111652,24,8,0,7,0,1,0.95,1,Yes
1111653,36,8,0,2,0,-99,-99,0,No
1111654,163,8,0,0,0,0.99,0.98,0,No
1111655,-55,8,2,52,0,-99,-99,56,Yes
1111656,74,8,0,0,0,0.81,0.83,0,No
1111657,225,8,0,1,0,0.95,0.97,0,No
1111661,117,8,0,0,0,0.97,0.98,0,No
1111662,14,8,0,3,0,0.76,0.89,0,No
1111670,-499,12,350,401,0,0.49,0.72,525,Yes
1111671,103,9,0,0,0,0.85,0.83,0,No
1111672,562,4,0,66,0,0.08,0.19,0,No
1111673,3,40,0,2,0,0.98,0.98,0,No
1111674,1900,8,0,0,0,1,0.97,0,No
1111675,64,2,0,0,0,0.66,0.39,0,No
1111676,107,2,0,1,0,0.93,0.95,0,No
1111677,75,2,0,0,0,0.99,0.99,0,No
1111678,2858,2,0,0,0,1,0.99,0,No
1111679,38,8,0,1,0,0.4,0.4,0,No
1111680,1203,2,0,19,0,0.93,0.95,0,No
1111681,126,9,0,6,0,0.91,0.74,0,No
1111682,43,9,0,0,0,0.91,0.74,0,No
1111683,3,2,0,0,0,0.99,0.99,0,No
1111684,4,4,0,0,0,0.77,0.8,0,No
1111685,24,2,0,1,0,0.81,0.43,0,No
1111686,10,2,4,26,0,0.85,0.83,0,No
1111687,10,9,0,0,0,0.91,0.74,0,No
1111688,261,12,0,0,0,0.96,0.86,0,No
1111689,3,8,0,0,0,0.8,0.81,0,No
1111690,8,9,0,0,0,0.91,0.74,0,No
1111691,17,8,0,0,0,1,0.99,0,No
1111692,20,4,6,0,0,0.22,0.11,0,No
1111693,490,12,0,0,0,0.96,0.86,0,No
1111694,132,2,68,41,0,0.89,0.92,0,No
1111695,39,2,0,3,0,0.98,0.99,0,No
1111696,26,10,0,0,0,0.85,0.88,0,No
1111697,10,12,0,0,0,0.82,0.79,0,No
1111698,5000,2,0,0,0,0.64,0.8,0,No
1111699,4095,52,0,0,0,0.96,0.86,0,No
1111700,12,2,0,0,0,0.75,0.9,0,No
1111701,11,9,0,0,0,0.91,0.74,0,No
1111702,83,52,0,1,0,0.98,0.93,0,No
1111703,4935,12,0,0,0,0.96,0.86,0,No
1111704,31,2,0,0,0,0.63,0.69,0,No
1111705,369,8,12,44,0,0.95,0.99,0,No
1111706,223,12,0,1,0,0.76,0.63,0,No
1111708,66,52,0,0,0,0.99,0.9,0,No
1111709,55,8,0,31,0,0.99,0.99,0,No
1111710,0,8,0,0,0,0.97,0.98,0,No
1111711,9,8,0,0,0,0.96,0.98,0,No
1111712,3,8,0,0,0,0.88,0.94,0,No
1111713,79,8,0,28,0,1,0.98,0,No
1111714,72,12,37,2,0,0.98,0.95,0,No
1111715,3,12,0,0,0,0.82,0.79,0,No
1111716,280,8,66,173,0,0.99,0.99,0,No
1111717,83,8,0,20,0,1,0.99,0,No
1111718,12,16,0,2,0,0.44,0.46,0,No
1111719,134,8,11,57,0,1,0.99,0,No
1111720,9,8,0,2,0,0.91,0.91,0,No
1111721,38,8,15,27,0,0.97,0.96,0,No
1111722,34,8,0,0,0,1,0.99,0,No
1111723,24,8,0,0,0,0.97,0.94,0,No
1111724,37,10,0,2,0,0.89,0.9,0,No
1111725,81,8,0,0,0,1,1,0,No
1111726,8,12,0,0,0,0.82,0.79,0,No
1111727,51,2,0,0,0,1,1,0,No
1111728,32,8,0,3,0,0.92,0.95,0,No
1111729,19,10,0,0,0,0.89,0.9,0,No
1111730,2,12,0,0,0,0.99,0.99,0,No
1111731,10,52,0,0,0,0.69,0.68,0,No
1111732,9081,8,1420,5006,0,0.99,0.97,0,No
1111733,177,8,24,169,0,0.6,0.57,1,No
1111734,1,52,0,1,0,-99,1,0,No
1111735,14,9,0,0,0,0.5,0.39,0,No
1111736,46,8,0,0,0,1,0.99,0,No
1111737,16,12,9,20,0,0.87,0.68,0,No
1111738,1288,8,0,143,0,0.94,0.95,0,No
1111739,140,17,0,32,0,1,1,0,No
1111740,86,17,3,26,0,1,1,0,No
1111741,0,8,0,0,0,0.89,0.9,0,No
1111742,11,12,0,0,0,0.98,0.96,0,No
1111743,12,2,0,2,0,1,0.98,0,No
1111744,11,8,0,1,0,0.78,0.92,0,No
1111745,3,12,0,0,0,0.62,0.73,0,No
1111746,1,8,0,0,0,1,0.75,0,No
1111747,16,8,0,0,0,0.99,0.98,0,No
1111748,5,8,0,3,0,0.9,0.88,0,No
1111749,42,8,6,14,0,0.92,0.76,0,No
1111751,2,8,0,0,0,1,0.79,0,No
1111752,12,8,0,4,0,0.74,0.76,0,No
1111753,353,12,0,2,0,0.62,0.73,0,No
1111754,0,12,0,0,0,0.93,0.88,0,No
1111755,17,12,0,3,0,0.82,0.79,0,No
1111756,8,12,0,1,0,0.98,0.96,0,No
1111757,5380,2,0,11,0,1,1,0,No
1111758,4,6,0,0,0,0.82,0.79,0,No
1111759,39,8,0,0,0,0.74,0.76,0,No
1111760,0,8,0,0,0,0.98,0.99,0,No
1111761,630,8,0,4,0,0.96,0.96,0,No
1111762,2598,2,2299,695,0,0.92,0.91,0,No
1111763,27,8,0,12,0,1,0.95,0,No
1111764,107,8,12,59,0,1,0.99,0,No
1111765,6,8,0,10,0,0.71,0.8,0,No
1111766,88,8,0,0,0,0.68,0.57,0,No
1111768,31,8,0,0,0,0.94,0.96,0,No
1111769,153,8,0,126,0,1,1,0,No
1111770,463,8,25,79,0,0.81,0.8,0,No
1111771,63,8,0,0,0,0.97,0.98,0,No
1111772,153,8,41,57,0,0.94,0.88,0,No
1111774,50,8,0,18,0,0.94,0.86,0,No
1111775,2,9,0,0,0,0.99,0.99,0,No
1111776,11,9,0,2,0,0.5,0.39,0,No
1111777,37,8,6,17,0,0.92,0.93,0,No
1111778,54,12,0,9,0,0.68,0.81,0,No
1111779,12,12,0,1,0,0.59,0.58,0,No
1111780,56,12,0,2,0,0.98,0.99,0,No
1111781,2,8,0,0,0,1,1,0,No
1111782,180,8,0,0,0,0.07,0.33,0,No
1111783,33,8,0,0,0,1,0.94,0,No
1111785,236,8,0,0,0,0.97,0.94,0,No
1111787,3,9,0,0,0,0.99,0.85,0,No
1111789,23,2,0,2,0,1,0.94,0,No
1111790,47,52,0,11,0,0.91,0.96,0,No
1111791,304,8,0,0,0,0.78,0.92,0,No
1111792,112,8,0,45,0,1,1,0,No
1111793,1,12,0,0,0,0.82,0.79,0,No
1111794,33,8,0,0,0,0.95,0.97,0,No
1111795,31,8,8,21,0,0.66,0.72,0,No
1111796,121,15,0,3,0,0.84,0.93,0,No
1111797,46,8,8,110,0,0.32,0.27,0,No
1111798,1045,8,0,2,0,0.33,0.29,0,No
1111799,5,8,0,0,0,0.78,0.82,0,No
1111800,15,8,0,7,0,0.76,0.88,0,No
1111801,1,9,0,0,0,0.99,0.99,0,No
1111802,2,12,0,0,0,0.62,0.73,0,No
1111803,132,9,19,45,0,1,0.99,0,No
1111805,25,52,0,1,0,0.89,0.9,0,No
1111806,13,12,0,2,0,0.98,0.98,0,No
1111807,1,8,0,0,0,0.82,0.78,0,No
1111808,26,0,0,29,0,0,0,0,No
1111811,1,8,0,0,0,0.98,0.94,0,No
1111812,0,8,0,2,1,0,0,0,No
1111813,16,9,0,2,0,0.99,0.98,0,No
1111814,5,2,11,0,0,0.64,0.68,0,No
1111816,3,8,0,1,0,0.46,0.35,0,No
1111817,4,12,0,0,0,0.82,0.79,0,No
1111818,2,12,0,0,0,0.82,0.79,0,No
1111820,79,8,0,0,0,0.97,0.94,0,No
1111821,-48,8,97,14,0,0.47,0.47,60,No
1111823,46,8,0,4,0,0.99,0.99,0,No
1111824,235,15,0,53,0,0.93,0.91,0,No
1111825,12,3,0,0,0,1,1,0,No
1111826,625,8,43,20,0,1,0.7,0,No
1111827,206,9,31,92,0,0.95,0.81,0,No
1111828,5,8,0,1,0,0.99,0.98,0,No
